"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"58" 86 "1338" 1338 34.91102 -7.63728 710813 9155334 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 1203.64 1204 "Z" 5 1 "grazer" 4
"59" 88 "1334" 1334 34.91731 -7.61582 711517 9157704 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 86.15 86 "E" 3 3 "mixed" 1
"60" 90 "1334" 1334 34.91981 -7.59578 711803 9159920 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 2320.32 2320 "G" 2 2 "browser" 8
"61" 91 "1334" 1334 34.91981 -7.59578 711803 9159920 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 2320.32 2320 "I" 1 3 "mixed" 8
"62" 92 "1320" 1320 34.88687 -7.56556 708182 9163278 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 4122.05 4122 "G" 2 2 "browser" 1
"63" 93 "1320" 1320 34.88781 -7.5563 708290 9164302 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 5146.75 5147 "K" 4 2 "browser" 4
"64" 95 "663" 663 34.92861 -7.68163 712732 9150419 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 624.87 625 "I" 1 3 "mixed" 1
"65" 98 "640" 640 34.91411 -7.69077 711127 9149416 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 236.48 236 "I" 1 3 "mixed" 1
"66" 99 "635" 635 34.90682 -7.69184 710322 9149301 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 536.7 537 "E" 3 3 "mixed" 1
"67" 100 "568" 568 34.86045 -7.7224 705191 9145943 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 1501.06 1501 "K" 4 2 "browser" 4
"68" 101 "563" 563 34.86586 -7.7364 705781 9144392 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 196.6 197 "I" 1 3 "mixed" 5
"69" 102 "558" 558 34.86717 -7.74288 705923 9143675 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 363.45 363 "I" 1 3 "mixed" 6
"70" 103 "546" 546 34.87063 -7.74904 706302 9142992 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 179.36 179 "I" 1 3 "mixed" 28
"71" 104 "505" 505 34.85746 -7.77499 704836 9140128 1 "alongside" 8 "2_midstream" 2011 1 1 15 "early" 243.89 244 "I" 1 3 "mixed" 12
